"CIS";"CIP13";"CIP7";"NOM_CIP13";"statut";"action";"dateAction";"libelle";"agrement";"taux";"prixHorsHono";"prixTotal";"honoraires";"denomination";"dateAMM";"numAMMCE";"nomCIS";"numFamille";"type";"tri";"denomination_ss_labo";"nb_CIS";"unite";"contenance";"unite2";"unite_final"
"60002283";"3400949497706";"4949770";"ANASTROZOLE ACCORD 1 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2011-09-19;"plaquette(s) PVC PVDC aluminium de 90 comprimé(s)";"oui";"100%";"90,22";"91,24";"1,02";"ANASTROZOLE ACCORD 1 mg, comprime pellicule";"2010-10-28";"";"ANASTROZOLE ACCORD 1 mg";"659";"1";2;"ANASTROZOLE 1 mg, comprimé pelliculé";2;1;NA;90;90
"60002283";"3400949497294";"4949729";"ANASTROZOLE ACCORD 1 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2011-03-16;"plaquette(s) PVC PVDC aluminium de 30 comprimé(s)";"oui";"100%";"33,48";"34,50";"1,02";"ANASTROZOLE ACCORD 1 mg, comprime pellicule";"2010-10-28";"";"ANASTROZOLE ACCORD 1 mg";"659";"1";2;"ANASTROZOLE 1 mg, comprimé pelliculé";2;1;NA;30;30
"60002504";"3400933208639";"3320863";"RANITIDINE BIOGARAN 150MG CPR EFF 30";"Présentation active";"Déclaration de commercialisation";2003-12-03;"tube(s) polypropylène de 30 comprimé(s)";"oui";"15%";"7,77";"8,79";"1,02";"RANITIDINE BIOGARAN 150 mg, comprime effervescent";"1989-07-04";"";"RANITIDINE BIOGARAN 150 mg";"10";"1";4;"RANITIDINE 150 mg, comprimé effervescent";1;1;NA;30;30
"60003620";"3400936963504";"3696350";"BECLOSPIN 800 MCG/2 ML SUSP INHAL 20/2 ML";"Présentation active";"Déclaration de commercialisation";2006-11-30;"20 récipient(s) unidose(s) polyéthylène de 2 ml suremballée(s)/surpochée(s) par plaquette de 5 récipients unidoses";"oui";"65%";"30,50";"31,52";"1,02";"BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nebuliseur";"2006-01-06";"";"BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur";"1358";"0";1;"BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur";1;20;"2ML";1;20
"60004277";"3400936145825";"3614582";"FENOFIBRATE TEVA 100MG GELULE 30";"Présentation active";"Déclaration de commercialisation";2003-06-11;"plaquette(s) thermoformée(s) PVC aluminium de 30 gélule(s)";"oui";"65%";"1,54";"2,56";"1,02";"FENOFIBRATE TEVA 100 mg, gelule";"1996-12-06";"";"FENOFIBRATE TEVA 100 mg";"104";"1";6;"FENOFIBRATE 100 mg, gélule";1;1;NA;30;30
"60004487";"3400939725192";"3972519";"TRAMADOL EG LP 200 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2011-12-12;"plaquette(s) thermoformée(s) opaque(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"11,56";"12,58";"1,02";"TRAMADOL EG L.P. 200 mg, comprime a liberation prolongee";"2009-09-07";"";"TRAMADOL EG L.P. 200 mg";"700";"4";7;"TRAMADOL L.P. 200 mg, comprimé à libération prolongée";1;1;NA;30;30
"60005856";"3400935510259";"3551025";"FAMOTIDINE EG 20 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2004-03-25;"plaquette(s) thermoformée(s) PVC-aluminium PVDC de 30 comprimé(s)";"oui";"15%";"8,50";"9,52";"1,02";"FAMOTIDINE EG 20 mg, comprime pellicule";"1999-12-22";"";"FAMOTIDINE EG 20 mg";"12";"1";2;"FAMOTIDINE 20 mg, comprimé pelliculé";1;1;NA;30;30
"60007437";"3400949444137";"4944413";"ATORVASTATINE TEVA SANTE 40 MG CPR 28";"Présentation active";"Déclaration de commercialisation";2012-05-08;"plaquette(s) thermoformée(s) aluminium de 28 comprimé(s)";"oui";"65%";"5,34";"6,36";"1,02";"ATORVASTATINE TEVA SANTE 40 mg, comprime pellicule";"2010-11-22";"";"ATORVASTATINE TEVA SANTE 40 mg";"915";"1";22;"ATORVASTATINE 40 mg, comprimé pelliculé";2;1;NA;28;28
"60007437";"3400949444946";"4944494";"ATORVASTATINE TEVA SANTE 40 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2012-05-08;"plaquette(s) thermoformée(s) aluminium de 90 comprimé(s)";"oui";"65%";"16,76";"19,52";"2,76";"ATORVASTATINE TEVA SANTE 40 mg, comprime pellicule";"2010-11-22";"";"ATORVASTATINE TEVA SANTE 40 mg";"915";"1";22;"ATORVASTATINE 40 mg, comprimé pelliculé";2;1;NA;90;90
"60008927";"3400939787237";"3978723";"RIVASTIGMINE EG 1,5 MG GELULE 56";"Présentation active";"Déclaration de commercialisation";2012-08-01;"plaquette(s) PVC PVDC aluminium de 56 gélule(s)";"oui";"15%";"20,28";"21,30";"1,02";"RIVASTIGMINE EG 1,5 mg, gelule";"2009-10-20";"";"RIVASTIGMINE EG 1,5 mg";"821";"1";7;"RIVASTIGMINE 1,5 mg, gélule";1;1;NA;56;56
